,country,country_abbreviation,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,cases_per_mill_pop
0,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
1,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
2,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
3,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
4,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
5,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
6,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
7,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
8,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
9,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
10,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
11,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
12,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
13,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
14,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
15,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
16,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
17,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
18,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
19,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
20,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
21,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
22,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
23,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
24,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
25,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
26,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
27,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
28,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
29,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
30,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
31,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
32,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
33,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
34,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
35,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
36,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
37,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
38,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
39,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
40,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
41,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
42,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
43,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
44,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
45,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
46,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
47,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
48,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
49,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
50,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
51,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
52,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
53,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
54,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
55,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
56,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
57,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
58,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
59,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
60,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
61,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
62,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
63,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
64,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
65,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
66,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
67,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
68,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
69,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
70,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
71,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
72,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
73,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
74,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
75,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
76,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
77,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
78,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
79,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
80,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
81,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
82,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
83,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
84,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
85,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
86,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
87,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
88,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
89,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
90,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
91,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
92,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
93,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
94,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
95,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
96,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
97,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
98,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
99,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
100,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
101,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
102,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
103,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
104,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
105,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
106,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
107,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
108,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
109,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
110,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
111,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
112,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
113,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
114,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
115,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
116,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
117,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
118,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
119,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
120,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
121,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
122,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
123,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
124,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
125,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
126,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
127,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
128,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
129,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
130,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
131,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
132,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
133,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
134,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
135,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
136,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
137,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
138,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
139,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
140,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
141,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
142,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
143,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
144,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
145,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
146,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
147,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
148,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
149,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
150,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
151,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
152,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
153,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
154,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
155,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
156,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
157,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
158,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
159,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
160,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
161,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
162,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
163,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
164,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
165,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
166,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
167,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
168,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
169,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
170,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
171,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
172,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
173,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
174,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
175,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
176,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
177,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
178,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
179,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
180,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
181,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
182,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
183,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
184,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
185,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
186,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
187,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
188,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
189,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
190,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
191,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
192,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
193,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
194,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
195,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
196,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
197,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
198,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
199,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
200,World,,"4,525,103","3,077","303,351",269,"1,703,742","2,518,010","45,560",581.0
201,USA,US,"1,457,593",0,"86,912",0,"318,027","1,052,654","16,240","4,404.0"
202,Spain,ES,"272,646",0,"27,321",0,"186,480","58,845","1,376","5,831.0"
203,Russia,RU,"252,245",0,"2,305",0,"53,530","196,410","2,300","1,728.0"
204,UK,GB,"233,151",0,"33,614",0,N/A,"199,193","1,559","3,434.0"
205,Italy,IT,"223,096",0,"31,368",0,"115,288","76,440",855,"3,690.0"
206,Brazil,BR,"203,165",247,"13,999",6,"79,479","109,687","8,318",956.0
207,France,FR,"178,870",0,"27,425",0,"59,605","91,840","2,299","2,740.0"
208,Germany,DE,"174,975",0,"7,928",0,"150,300","16,747","1,329","2,088.0"
209,Turkey,TR,"144,749",0,"4,007",0,"104,030","36,712",963,"1,716.0"
